"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2004","393.60","396.00","405.60","382.50","769.03K","-0.33%"
"05/01/2004","394.90","378.00","398.00","378.00","43.70K","1.78%"
"04/01/2004","388.00","427.50","433.00","378.60","1.01M","-9.41%"
"03/01/2004","428.30","398.90","428.50","398.90","120.45K","7.80%"
"02/01/2004","397.30","403.10","418.00","392.00","765.58K","-1.39%"
"01/01/2004","402.90","426.30","428.00","397.50","166.89K","-3.29%"
"12/01/2003","416.60","398.90","419.10","397.80","653.30K","4.67%"
"11/01/2003","398.00","398.00","402.00","391.30","54.43K","3.35%"
"10/01/2003","385.10","385.90","393.00","366.50","912.74K","-0.26%"
"09/01/2003","386.10","383.00","389.40","380.20","95.71K","2.60%"
"08/01/2003","376.30","355.50","374.30","346.00","60.86K","6.00%"
"07/01/2003","355.00","352.10","367.00","345.00","7.18K","2.39%"
"06/01/2003","346.70","364.00","370.50","343.50","709.93K","-5.17%"
"05/01/2003","365.60","345.00","371.00","345.00","98.77K","7.59%"
"04/01/2003","339.80","336.80","339.40","319.80","552.34K","0.86%"
"03/01/2003","336.90","353.50","353.50","328.50","58.33K","-3.93%"
"02/01/2003","350.70","368.90","390.80","342.40","760.38K","-4.99%"
"01/01/2003","369.10","347.50","372.70","347.50","82.43K","5.88%"
"12/01/2002","348.60","319.10","355.70","316.60","642.29K","9.69%"
"11/01/2002","317.80","321.50","323.50","317.60","28.40K","-0.31%"
"10/01/2002","318.80","324.30","325.50","309.10","589.66K","-1.97%"
"09/01/2002","325.20","327.30","327.30","320.10","53.34K","3.80%"
"08/01/2002","313.30","302.30","318.80","299.50","43.65K","2.99%"
"07/01/2002","304.20","317.00","326.00","302.00","5.76K","-3.24%"
"06/01/2002","314.40","327.50","331.50","316.60","569.50K","-4.00%"
"05/01/2002","327.50","314.20","330.20","314.20","74.24K","5.71%"
"04/01/2002","309.80","304.00","313.50","298.00","452.94K","2.01%"
"03/01/2002","303.70","303.90","305.80","301.50","29.62K","2.05%"
"02/01/2002","297.60","283.00","309.40","282.40","525.46K","5.20%"
"01/01/2002","282.90","282.60","284.30","281.40","55.33K","1.29%"
"12/01/2001","279.30","275.80","281.40","271.70","299.63K","1.60%"
"11/01/2001","274.90","281.10","282.30","272.10","56.45K","-2.10%"
"10/01/2001","280.80","293.70","295.90","275.80","389.79K","-4.49%"
"09/01/2001","294.00","276.30","295.50","272.80","34.52K","6.60%"
"08/01/2001","275.80","267.90","282.00","267.00","35.47K","2.95%"
"07/01/2001","267.90","267.00","272.40","265.80","2.73K","-1.51%"
"06/01/2001","272.00","266.80","279.80","265.50","384.58K","1.91%"
"05/01/2001","266.90","275.20","276.20","266.00","116.42K","0.76%"
"04/01/2001","264.90","259.10","269.50","255.80","363.30K","2.20%"
"03/01/2001","259.20","260.10","262.20","258.50","50.11K","-3.61%"
"02/01/2001","268.90","267.80","271.30","255.10","353.16K","0.34%"
"01/01/2001","268.00","274.50","274.50","265.10","53.74K","-2.51%"
"12/01/2000","274.90","273.20","279.90","270.30","292.59K","0.59%"
"11/01/2000","273.30","272.50","273.50","269.50","68.97K","2.09%"
"10/01/2000","267.70","277.30","279.90","263.50","376.98K","-3.32%"
"09/01/2000","276.90","276.00","282.20","275.50","50.35K","-1.39%"
"08/01/2000","280.80","280.30","281.80","272.60","16.04K","0.21%"
"07/01/2000","280.20","286.00","290.40","273.50","5.31K","-4.37%"
"06/01/2000","293.00","275.40","296.50","274.80","539.26K","6.62%"
"05/01/2000","274.80","275.10","277.20","274.50","40.56K","-0.43%"
"04/01/2000","276.00","281.50","291.50","276.40","292.95K","-1.92%"
"03/01/2000","281.40","279.00","283.00","277.50","61.62K","-4.74%"
"02/01/2000","295.40","286.00","326.90","285.00","710.14K","3.21%"
"01/01/2000","286.20","291.50","291.50","283.00","83.45K","-1.55%"
"12/01/1999","290.70","293.00","298.50","276.20","373.32K","-0.78%"
"11/01/1999","293.00","295.50","301.00","292.40","64.33K","-2.66%"
"10/01/1999","301.00","299.10","339.00","287.60","755.82K","0.50%"
"09/01/1999","299.50","311.10","322.40","295.10","132.64K","16.54%"
"08/01/1999","257.00","257.00","263.80","253.00","25.35K","-0.23%"
"07/01/1999","257.60","258.00","260.00","254.00","2.76K","-2.53%"
"06/01/1999","264.30","271.50","272.00","258.50","455.13K","-2.83%"
"05/01/1999","272.00","287.80","287.80","269.40","73.20K","-5.78%"
"04/01/1999","288.70","282.30","290.00","279.10","417.77K","2.41%"
